step,environment,gps_error,rtk_error,ekf_error
159,TUNNEL,,,1.0042616254527155
160,TUNNEL,,,1.010697097587293
161,TUNNEL,,,1.0168013397607316
162,TUNNEL,,,1.0233090118382182
163,TUNNEL,,,1.029590730413082
164,TUNNEL,,,1.0363448897021772
165,TUNNEL,,,1.042897561385766
166,TUNNEL,,,1.0496954023289404
167,TUNNEL,,,1.0560802803491567
168,TUNNEL,,,1.0626356456922954
169,TUNNEL,,,1.068990200925388
170,TUNNEL,,,1.075756128801103
171,TUNNEL,,,1.0822243761118286
172,TUNNEL,,,1.0890414126601196
173,TUNNEL,,,1.0956725247849601
174,TUNNEL,,,1.102562996914572
175,TUNNEL,,,1.1090578093928765
176,TUNNEL,,,1.1158168499784635
177,TUNNEL,,,1.1222370974479898
178,TUNNEL,,,1.1290325367174256
179,TUNNEL,,,1.135573922355065
180,TUNNEL,,,1.142474605676749
181,TUNNEL,,,1.1490086386577443
182,TUNNEL,,,1.1559479586274082
183,TUNNEL,,,1.1625929882947703
184,TUNNEL,,,1.1695857505437672
185,TUNNEL,,,1.176265312986218
186,TUNNEL,,,1.183217943924177
187,TUNNEL,,,1.1898178634936512
188,TUNNEL,,,1.1968048481059583
189,TUNNEL,,,1.2034834113886805
190,TUNNEL,,,1.2103652710982253
191,TUNNEL,,,1.2169301544211961
192,TUNNEL,,,1.2238198999744327
193,TUNNEL,,,1.2304917100435602
194,TUNNEL,,,1.2376108289312204
195,TUNNEL,,,1.2443425707583298
196,TUNNEL,,,1.2511976089340549
197,TUNNEL,,,1.2577570919886796
198,TUNNEL,,,1.2646537826470592
199,TUNNEL,,,1.2712420219661236
200,TUNNEL,,,1.2782108503017795
201,TUNNEL,,,1.28488554393073
202,TUNNEL,,,1.2920477745162884
203,TUNNEL,,,1.2989397986714297
204,TUNNEL,,,1.3061021689190238
205,TUNNEL,,,1.31300874090871
206,TUNNEL,,,1.3202155097721062
207,TUNNEL,,,1.327055138250646
208,TUNNEL,,,1.3341872765346228
209,TUNNEL,,,1.3409914682624704
210,TUNNEL,,,1.3480355203837648
211,TUNNEL,,,1.354874548943446
212,TUNNEL,,,1.3621106802096974
213,TUNNEL,,,1.3691290175822266
214,TUNNEL,,,1.376543155660149
215,TUNNEL,,,1.383617211480894
216,TUNNEL,,,1.3909510507885547
217,TUNNEL,,,1.3979562155198426
218,TUNNEL,,,1.4053589391725352
219,TUNNEL,,,1.4123922102020146
220,TUNNEL,,,1.4197281199384661
221,TUNNEL,,,1.426790292507251
222,TUNNEL,,,1.4341678269987008
223,TUNNEL,,,1.4412745664036741
224,TUNNEL,,,1.4487412294809265
225,TUNNEL,,,1.4559466661577003
226,TUNNEL,,,1.4634526549083122
227,TUNNEL,,,1.4706985110178061
228,TUNNEL,,,1.4781627267158721
229,TUNNEL,,,1.4852609709251936
230,TUNNEL,,,1.4925225863705023
231,TUNNEL,,,1.4995450470021936
232,TUNNEL,,,1.5069992267603098
233,TUNNEL,,,1.5140818154551272
234,TUNNEL,,,1.5214791116111799
235,TUNNEL,,,1.5285840524617518
236,TUNNEL,,,1.5360372262239192
237,TUNNEL,,,1.5442828784238813
238,TUNNEL,,,1.5525863205704302
239,TUNNEL,,,1.560169097925083
240,TUNNEL,,,1.5679992623220569
241,TUNNEL,,,1.575400952604814
242,TUNNEL,,,1.5829881170724822
243,TUNNEL,,,1.5902076345097083
244,TUNNEL,,,1.5977401546835788
245,TUNNEL,,,1.6049577392133743
246,TUNNEL,,,1.612422144639043
247,TUNNEL,,,1.6195544216529696
248,TUNNEL,,,1.6268825566932754
249,TUNNEL,,,1.6353784215724405
250,TUNNEL,,,1.644255466273864
251,TUNNEL,,,1.651894289866086
252,TUNNEL,,,1.6596193130295616
253,TUNNEL,,,1.6669217571349886
254,TUNNEL,,,1.6742738053746218
255,TUNNEL,,,1.6812253625416345
256,TUNNEL,,,1.6884299896719697
257,TUNNEL,,,1.6953515192001123
258,TUNNEL,,,1.7025071625849102
259,TUNNEL,,,1.7092930294042126
260,TUNNEL,,,1.7163456270454753
261,TUNNEL,,,1.723010111188855
262,TUNNEL,,,1.7317539638061414
263,TUNNEL,,,1.7406590969963327
264,TUNNEL,,,1.748777621053567
265,TUNNEL,,,1.7563249818711575
266,TUNNEL,,,1.763962377860952
267,TUNNEL,,,1.7711265261293132
268,TUNNEL,,,1.7784737603911789
269,TUNNEL,,,1.7855081482057413
270,TUNNEL,,,1.792835661912749
271,TUNNEL,,,1.7998383775786277
272,TUNNEL,,,1.8071220141888076
273,TUNNEL,,,1.814001901192909
274,TUNNEL,,,1.821019306044713
275,TUNNEL,,,1.8294196892708354
276,TUNNEL,,,1.838802515434144
277,TUNNEL,,,1.8469376723866255
278,TUNNEL,,,1.8552757631524244
279,TUNNEL,,,1.8631613635870776
280,TUNNEL,,,1.8712094574176685
281,TUNNEL,,,1.8789482855118287
282,TUNNEL,,,1.8870137097341224
283,TUNNEL,,,1.8946723565560202
284,TUNNEL,,,1.9025630215229727
285,TUNNEL,,,1.910000769560759
286,TUNNEL,,,1.9176317923843071
287,TUNNEL,,,1.9250472651212416
288,TUNNEL,,,1.9346010214489116
289,TUNNEL,,,1.9443203303160328
290,TUNNEL,,,1.9533389593502835
291,TUNNEL,,,1.9617028007240211
292,TUNNEL,,,1.9702130752436697
293,TUNNEL,,,1.9782582904034602
294,TUNNEL,,,1.9864784995562723
295,TUNNEL,,,1.994297407206118
296,TUNNEL,,,2.002400892982173
297,TUNNEL,,,2.0101647222210173
298,TUNNEL,,,2.018036355725368
299,TUNNEL,,,2.0255227677188667
300,TUNNEL,,,2.033294291760528
301,TUNNEL,,,2.040726633470081
302,TUNNEL,,,2.0502525340459705
303,TUNNEL,,,2.059953755226779
304,TUNNEL,,,2.068912610517046
305,TUNNEL,,,2.077252296167168
306,TUNNEL,,,2.0857902229447713
307,TUNNEL,,,2.0938471219619483
308,TUNNEL,,,2.102102308216936
309,TUNNEL,,,2.110025466576796
310,TUNNEL,,,2.1181127588658626
311,TUNNEL,,,2.1257306881348024
312,TUNNEL,,,2.1334422331244003
313,TUNNEL,,,2.1406853425491463
314,TUNNEL,,,2.1482825105622654
315,TUNNEL,,,2.1573044524076295
316,TUNNEL,,,2.1672091595187233
317,TUNNEL,,,2.175641754977616
318,TUNNEL,,,2.184134281973502
319,TUNNEL,,,2.192251865715122
320,TUNNEL,,,2.2005750165829703
321,TUNNEL,,,2.208451514595186
322,TUNNEL,,,2.216677388010173
323,TUNNEL,,,2.2245117606038844
324,TUNNEL,,,2.2325786461466874
325,TUNNEL,,,2.2403817347269457
326,TUNNEL,,,2.248497418249224
327,TUNNEL,,,2.2563000101695065
328,TUNNEL,,,2.2660733683400447
329,TUNNEL,,,2.2760272014632044
330,TUNNEL,,,2.2853381019206056
331,TUNNEL,,,2.2940902975101847
332,TUNNEL,,,2.3029200885860965
333,TUNNEL,,,2.3112027293355673
334,TUNNEL,,,2.3196176181151036
335,TUNNEL,,,2.32761405618609
336,TUNNEL,,,2.335867909902986
337,TUNNEL,,,2.3436835692906466
338,TUNNEL,,,2.3517923730804706
339,TUNNEL,,,2.359601430720873
340,TUNNEL,,,2.3676652084302616
341,TUNNEL,,,2.377104691569771
342,TUNNEL,,,2.3873576875378966
343,TUNNEL,,,2.3962183978583833
344,TUNNEL,,,2.4051310893187137
345,TUNNEL,,,2.41363356723437
346,TUNNEL,,,2.422311472252452
347,TUNNEL,,,2.4305691015705215
348,TUNNEL,,,2.4389614790821112
349,TUNNEL,,,2.4469547739146633
350,TUNNEL,,,2.455130119443352
351,TUNNEL,,,2.4629471845736095
352,TUNNEL,,,2.4710340948333105
353,TUNNEL,,,2.47873685334057
354,TUNNEL,,,2.488369842530257
355,TUNNEL,,,2.4988733534700542
356,TUNNEL,,,2.508343484596987
357,TUNNEL,,,2.516965553027199
358,TUNNEL,,,2.5256106822878137
359,TUNNEL,,,2.5336900389836576
360,TUNNEL,,,2.541790075564605
361,TUNNEL,,,2.5494250572544126
362,TUNNEL,,,2.557273105406106
363,TUNNEL,,,2.5647675827553895
364,TUNNEL,,,2.5724892109977278
365,TUNNEL,,,2.579904678619315
366,TUNNEL,,,2.587651636481936
367,TUNNEL,,,2.59671701678974
368,TUNNEL,,,2.6066951115687007
369,TUNNEL,,,2.615383342043706
370,TUNNEL,,,2.623948305208426
371,TUNNEL,,,2.63187725529719
372,TUNNEL,,,2.639926755155714
373,TUNNEL,,,2.6475826072966133
374,TUNNEL,,,2.6569690896015867
375,TUNNEL,,,2.6664934559067737
376,TUNNEL,,,2.6751563786340538
377,TUNNEL,,,2.6831919919777305
378,TUNNEL,,,2.6912734896982404
379,TUNNEL,,,2.698971843558673
380,TUNNEL,,,2.7068991062292445
381,TUNNEL,,,2.7159945336978124
382,TUNNEL,,,2.7257142195917927
383,TUNNEL,,,2.7341869252214313
384,TUNNEL,,,2.742555596799189
385,TUNNEL,,,2.7504035503814928
386,TUNNEL,,,2.7583748047220755
387,TUNNEL,,,2.7659199811646573
388,TUNNEL,,,2.7750173728356473
389,TUNNEL,,,2.7842203106857797
390,TUNNEL,,,2.792680120293793
391,TUNNEL,,,2.8006689315438593
392,TUNNEL,,,2.80889499182169
393,TUNNEL,,,2.816724967109098
394,TUNNEL,,,2.824763757942296
395,TUNNEL,,,2.833868720617008
396,TUNNEL,,,2.843580901474394
397,TUNNEL,,,2.8522489915565004
398,TUNNEL,,,2.8608505945443508
399,TUNNEL,,,2.86902858333296
400,TUNNEL,,,2.87723712079759
401,TUNNEL,,,2.8849429319523923
402,TUNNEL,,,2.894035419907972
403,TUNNEL,,,2.903111567488266
404,TUNNEL,,,2.911622799510103
405,TUNNEL,,,2.919634361146611
406,TUNNEL,,,2.9277038414452288
407,TUNNEL,,,2.9354372866013048
408,TUNNEL,,,2.9432227583382753
409,TUNNEL,,,2.951803054177747
410,TUNNEL,,,2.9608776529231156
411,TUNNEL,,,2.9691271211048136
412,TUNNEL,,,2.9774047281125866
413,TUNNEL,,,2.985403445168734
414,TUNNEL,,,2.993544523159867
415,TUNNEL,,,3.001274144554958
416,TUNNEL,,,3.010115326199968
417,TUNNEL,,,3.018947806810778
418,TUNNEL,,,3.027362742435527
419,TUNNEL,,,3.0353004841325273
420,TUNNEL,,,3.0433044831265827
421,TUNNEL,,,3.050982466372801
422,TUNNEL,,,3.0588085225278676
423,TUNNEL,,,3.0672384773549943
424,TUNNEL,,,3.0760697771239385
425,TUNNEL,,,3.084237314053217
426,TUNNEL,,,3.0924887413482613
427,TUNNEL,,,3.1004872831766805
428,TUNNEL,,,3.1085897172599153
429,TUNNEL,,,3.116444451437407
430,TUNNEL,,,3.125184734175698
431,TUNNEL,,,3.1339020920790372
432,TUNNEL,,,3.142347271223416
433,TUNNEL,,,3.1504415745772674
434,TUNNEL,,,3.158600534970079
435,TUNNEL,,,3.166594837029747
436,TUNNEL,,,3.174721956018385
437,TUNNEL,,,3.183358671253311
438,TUNNEL,,,3.192433991730757
439,TUNNEL,,,3.2009621999583002
440,TUNNEL,,,3.2095453527956126
441,TUNNEL,,,3.2178585378647964
442,TUNNEL,,,3.2261323880106425
443,TUNNEL,,,3.2342105719792418
444,TUNNEL,,,3.2430335187853907
445,TUNNEL,,,3.251762256513524
446,TUNNEL,,,3.2602664825185834
447,TUNNEL,,,3.2683909809332357
448,TUNNEL,,,3.276581572228181
449,TUNNEL,,,3.284622040275915
450,TUNNEL,,,3.292592792648595
451,TUNNEL,,,3.3007353140780116
452,TUNNEL,,,3.309046951548736
453,TUNNEL,,,3.317132874505439
454,TUNNEL,,,3.325411439053808
455,TUNNEL,,,3.3334945154042996
456,TUNNEL,,,3.3415867467857856
457,TUNNEL,,,3.3495539194881734
458,TUNNEL,,,3.3578470450879405
459,TUNNEL,,,3.3660443268202545
460,TUNNEL,,,3.374304294962906
461,TUNNEL,,,3.3824366363531713
462,TUNNEL,,,3.3905362478544827
463,TUNNEL,,,3.398359459812724
464,TUNNEL,,,3.4061286996291686
465,TUNNEL,,,3.4140033978188975
466,TUNNEL,,,3.4221289399177937
467,TUNNEL,,,3.4301545576117634
468,TUNNEL,,,3.4382929328497873
469,TUNNEL,,,3.4464149798319714
470,TUNNEL,,,3.454560024298275
471,TUNNEL,,,3.4625408854420923
472,TUNNEL,,,3.4705995319485505
473,TUNNEL,,,3.478594959093514
474,TUNNEL,,,3.4866123861594733
475,TUNNEL,,,3.4945878723147037
476,TUNNEL,,,3.5026335765166157
477,TUNNEL,,,3.5107488855181805
478,TUNNEL,,,3.518957582163265
479,TUNNEL,,,3.5273378468222396
480,TUNNEL,,,3.535876350148948
481,TUNNEL,,,3.5445391407870606
482,TUNNEL,,,3.553331729624995
483,TUNNEL,,,3.5619842785193296
484,TUNNEL,,,3.5706131462313717
485,TUNNEL,,,3.5790426613270823
486,TUNNEL,,,3.587525675525707
487,TUNNEL,,,3.5960087492488118
488,TUNNEL,,,3.604406090967581
489,TUNNEL,,,3.612728563241094
490,TUNNEL,,,3.621045039818567
491,TUNNEL,,,3.6294691960909056
492,TUNNEL,,,3.637940958008934
493,TUNNEL,,,3.6464619084154823
494,TUNNEL,,,3.6549967786547546
495,TUNNEL,,,3.6634256166304113
496,TUNNEL,,,3.6718339133796127
497,TUNNEL,,,3.68015657897919
498,TUNNEL,,,3.688573402075018
499,TUNNEL,,,3.6969769110222526
500,TUNNEL,,,3.705368747036387
501,TUNNEL,,,3.713365955420584
502,TUNNEL,,,3.720843501054603
503,TUNNEL,,,3.7278280394632857
504,TUNNEL,,,3.734259342387292
505,TUNNEL,,,3.7401745683224994
506,TUNNEL,,,3.7459647265760196
507,TUNNEL,,,3.751721755101161
508,TUNNEL,,,3.7575973891787737
509,TUNNEL,,,3.7637735999310737
510,TUNNEL,,,3.770385753421772
511,TUNNEL,,,3.7774387618671863
512,TUNNEL,,,3.7848411319204973
513,TUNNEL,,,3.7924266964917477
514,TUNNEL,,,3.8002089457552506
515,TUNNEL,,,3.807961698184623
516,TUNNEL,,,3.815520607851342
517,TUNNEL,,,3.823039486028088
518,TUNNEL,,,3.8305165956243843
519,TUNNEL,,,3.8379744747923
520,TUNNEL,,,3.845381030421236
521,TUNNEL,,,3.8528002348607884
522,TUNNEL,,,3.860351146495705
523,TUNNEL,,,3.868072483254037
524,TUNNEL,,,3.8758600020273515
525,TUNNEL,,,3.8836118925883043
526,TUNNEL,,,3.89136658762184
527,TUNNEL,,,3.8991466303798177
528,TUNNEL,,,3.9069156091380908
529,TUNNEL,,,3.9147586555794467
530,TUNNEL,,,3.9224973817928332
531,TUNNEL,,,3.9302007093688127
532,TUNNEL,,,3.9379599012348803
533,TUNNEL,,,3.945713054894371
534,TUNNEL,,,3.9533805397969104
535,TUNNEL,,,3.961041676545711
536,TUNNEL,,,3.9686934562155614
537,TUNNEL,,,3.9764039920551304
538,TUNNEL,,,3.9841241597548254
539,TUNNEL,,,3.9918688040412826
540,TUNNEL,,,3.9995178980476203
541,TUNNEL,,,4.007124682691005
542,TUNNEL,,,4.014661229911104
543,TUNNEL,,,4.022094888439446
544,TUNNEL,,,4.0295190860092545
545,TUNNEL,,,4.036922467065513
546,TUNNEL,,,4.044149628449171
547,TUNNEL,,,4.051337157421841
548,TUNNEL,,,4.058508982720786
549,TUNNEL,,,4.06566676899827
550,TUNNEL,,,4.072748608889627
551,TUNNEL,,,4.079799587691178
552,TUNNEL,,,4.0868486547384135
553,TUNNEL,,,4.094008292078394
554,TUNNEL,,,4.101166166793642
555,TUNNEL,,,4.10844496441312
556,TUNNEL,,,4.115738626573151
557,TUNNEL,,,4.123161562076792
558,TUNNEL,,,4.1306157755530135
559,TUNNEL,,,4.138117068763291
560,TUNNEL,,,4.1454460119326715
561,TUNNEL,,,4.1526605535578325
562,TUNNEL,,,4.159902346400795
563,TUNNEL,,,4.167176443018216
564,TUNNEL,,,4.174376556804865
565,TUNNEL,,,4.181495716790998
566,TUNNEL,,,4.188600777022644
567,TUNNEL,,,4.1956762528796485
568,TUNNEL,,,4.202691021222711
569,TUNNEL,,,4.210701346434114
570,TUNNEL,,,4.220680010608184
571,TUNNEL,,,4.227072642470946
572,TUNNEL,,,4.234111615727122
573,TUNNEL,,,4.241870754898609
574,TUNNEL,,,4.248970301362667
575,TUNNEL,,,4.255369946218699
576,TUNNEL,,,4.261732490117636
577,TUNNEL,,,4.268437132868626
578,TUNNEL,,,4.2758648152117695
579,TUNNEL,,,4.2840531314312384
580,TUNNEL,,,4.292740682093783
581,TUNNEL,,,4.301441045243936
582,TUNNEL,,,4.309890578528482
583,TUNNEL,,,4.318018422917403
584,TUNNEL,,,4.325872370620927
585,TUNNEL,,,4.333663387312145
586,TUNNEL,,,4.3416359265219375
587,TUNNEL,,,4.349833754027346
588,TUNNEL,,,4.358247461147443
589,TUNNEL,,,4.36676287792292
590,TUNNEL,,,4.375195634823307
591,TUNNEL,,,4.383423782489449
592,TUNNEL,,,4.391415102125986
593,TUNNEL,,,4.400266837644808
594,TUNNEL,,,4.411386452494689
595,TUNNEL,,,4.424428226709417
596,TUNNEL,,,4.4384508532680425
597,TUNNEL,,,4.453092426981716
598,TUNNEL,,,4.46806623672051
599,TUNNEL,,,4.479865455343385
600,TUNNEL,,,4.4901083354894205
601,TUNNEL,,,4.501856342605431
602,TUNNEL,,,4.514981533359958
603,TUNNEL,,,4.528859912792553
604,TUNNEL,,,4.543863787816392
605,TUNNEL,,,4.559952555228343
606,TUNNEL,,,4.576484118627538
607,TUNNEL,,,4.591483791490392
608,TUNNEL,,,4.607089435231025
609,TUNNEL,,,4.622657084666255
610,TUNNEL,,,4.638075993152223
611,TUNNEL,,,4.6529047663362935
612,TUNNEL,,,4.667551516265679
613,TUNNEL,,,4.6804183177570975
614,TUNNEL,,,4.6909009895407445
615,TUNNEL,,,4.698258057167143
616,TUNNEL,,,4.703209361406039
617,TUNNEL,,,4.708209058304841
618,TUNNEL,,,4.713732293626163
