step,environment,gps_error,rtk_error,ekf_error,recovery_active
0,URBAN,5.814025487970102,1.6797993726156635,0.408223265832819,0
1,URBAN,11.975058275332648,0.29636510462884563,0.2738806970420309,0
2,URBAN,10.473757410692665,0.4117783371906203,0.2609337687783468,0
3,URBAN,2.1187924112731795,1.5160926405745894,0.11212988319576656,0
4,URBAN,11.118897730376455,1.5269052612828333,0.3635044281057785,0
5,URBAN,7.258864913518268,1.8273201033743736,0.16722027100668665,0
6,URBAN,4.8185212398840935,1.6676794900505179,0.16319224060249415,0
7,URBAN,4.001285450575922,1.2480020497226043,0.15249686898540443,0
8,URBAN,0.537755979348931,1.9819315983830805,0.24931601717935223,0
9,URBAN,8.209894907669423,1.4849575197706886,0.30932295645992736,0
10,URBAN,4.461021783588473,0.832412939005832,0.39589995640763975,0
11,URBAN,6.818341800654089,0.1812155358527321,0.5170273200978274,0
12,URBAN,5.864232890048836,0.2790361050812896,0.6409427931270864,0
13,URBAN,4.1770706796335455,0.932585493078007,0.8298117428545543,0
14,URBAN,5.170791271281986,0.8206655826842022,0.8688459119551641,0
15,URBAN,15.513963835894568,0.8199226784695838,0.8728593938977508,0
16,URBAN,4.593512746417635,0.9671879379825616,0.8543518852518986,0
17,URBAN,5.164290348814737,0.8711175536505359,0.7818693373938442,0
18,URBAN,8.568823229493045,1.2478580079651165,0.6220574275050937,0
19,URBAN,4.459430790412883,0.21904141878182676,0.3909697329863475,0
20,URBAN,7.254112748588566,1.7048482044453392,0.11239771638820217,0
21,URBAN,6.451953116964574,0.4702625979135057,0.2599765933063165,0
22,URBAN,2.7537588542875375,0.4592369671468364,0.4346281688070645,0
23,URBAN,2.9315040513794997,0.867362069417148,0.715473705308716,0
24,URBAN,2.594612246578718,0.9579593682607948,0.703757493336909,0
25,URBAN,2.9311790968615066,0.8048605194853503,0.8095184416637772,0
26,URBAN,4.4585932386687945,1.5790011553311336,0.6516937441875058,0
27,URBAN,4.005478239254104,0.4126954307852972,0.853460357429785,0
28,URBAN,5.105154705215101,0.9727325586084714,1.1273962481751694,0
29,URBAN,5.13286135997,0.12025700016358572,1.34610993814503,0
30,URBAN,2.837154797785473,0.9311563114483095,1.3476192054621465,0
31,URBAN,10.669253557225083,1.4707093712725858,1.200829581243852,0
32,URBAN,13.969888068145456,1.6520153860665285,1.2332056944001257,0
33,URBAN,9.101449270988404,0.44671783339365606,1.190914043690097,0
34,URBAN,7.353099398200771,0.7367195425899059,1.0627960081006178,0
35,URBAN,3.172167240028469,1.349196686835502,1.1569632127754386,0
36,URBAN,3.589684395848925,0.7860894019761852,1.1474477664121256,0
37,URBAN,11.427748593682011,0.9186081037918605,1.1998091944273825,0
38,URBAN,4.217501491074419,2.028434590136653,1.1658753344701869,0
39,URBAN,2.331841704435743,0.8707089849246611,1.1597917303742464,0
40,URBAN,9.687650340355644,2.001040787631915,1.4343647414179033,0
41,URBAN,2.6688999617227425,1.349886502169353,1.4210710450006554,0
42,URBAN,5.255898543549833,1.1761693009373198,1.4588999243008829,0
43,URBAN,9.012442716000976,0.02979216896242723,1.681135137662386,0
44,URBAN,6.496171131413645,0.8272191899335488,1.9749722004673311,0
45,URBAN,2.4956597892356185,0.4519684578141953,2.105516564081772,0
46,URBAN,6.180764933849289,0.5405893905407202,2.1871105167831297,0
47,TUNNEL,,,2.4535702345051025,0
48,TUNNEL,,,2.67782951744352,0
49,TUNNEL,,,2.94790797494241,0
50,TUNNEL,,,3.328325756105228,0
51,TUNNEL,,,3.830104342691055,0
52,TUNNEL,,,4.4268299893540295,0
53,TUNNEL,,,5.078539087139003,0
54,TUNNEL,,,5.751586634937807,0
55,TUNNEL,,,6.421712187903362,0
56,TUNNEL,,,7.076882996383503,0
57,TUNNEL,,,7.686199803843575,0
58,TUNNEL,,,8.228306603785976,0
59,TUNNEL,,,8.692035402182805,0
60,TUNNEL,,,9.076944896841352,0
61,TUNNEL,,,9.387790117161925,0
62,TUNNEL,,,9.632876122340043,0
63,TUNNEL,,,9.822743587599952,0
64,TUNNEL,,,9.965493383640995,0
65,TUNNEL,,,10.071277478674974,0
66,TUNNEL,,,10.148253636547501,0
67,TUNNEL,,,10.203141793236524,0
68,TUNNEL,,,10.242743975330272,0
69,TUNNEL,,,10.269983228437605,0
70,TUNNEL,,,10.289449288262839,0
71,TUNNEL,,,10.304120304137394,0
72,TUNNEL,,,10.320007422005924,0
73,TUNNEL,,,10.340932845341921,0
74,TUNNEL,,,10.37148436342848,0
75,TUNNEL,,,10.413583658156886,0
76,TUNNEL,,,10.470095869532562,0
77,TUNNEL,,,10.542720872691689,0
78,TUNNEL,,,10.631018298737205,0
79,TUNNEL,,,10.734850005589779,0
80,TUNNEL,,,10.855136685094408,0
81,TUNNEL,,,10.990114270340694,0
82,TUNNEL,,,11.143077397175594,0
83,TUNNEL,,,11.314654409137463,0
84,TUNNEL,,,11.506567729007974,0
85,TUNNEL,,,11.71805411234599,0
86,TUNNEL,,,11.949057338013198,0
87,TUNNEL,,,12.198520043384645,0
88,TUNNEL,,,12.46513595329653,0
89,TUNNEL,,,12.747168146788123,0
90,TUNNEL,,,13.043396745321484,0
91,TUNNEL,,,13.352351492383677,0
92,TUNNEL,,,13.672889629580956,0
93,TUNNEL,,,14.003543898854986,0
94,TUNNEL,,,14.343187081587219,0
95,TUNNEL,,,14.692006462840986,0
96,TUNNEL,,,15.050569099825578,0
97,TUNNEL,,,15.418501352860458,0
98,TUNNEL,,,15.795652691362115,0
99,TUNNEL,,,16.18104934045468,0
100,TUNNEL,,,16.57414424818795,0
101,TUNNEL,,,16.973869732295775,0
102,TUNNEL,,,17.38000047071185,0
103,TUNNEL,,,17.791624162669123,0
104,TUNNEL,,,18.20777145646296,0
105,TUNNEL,,,18.62777367531162,0
106,TUNNEL,,,19.051767569192474,0
107,TUNNEL,,,19.479420392651555,0
108,TUNNEL,,,19.9111790861642,0
109,TUNNEL,,,20.346476746221274,0
110,TUNNEL,,,20.784874807200215,0
111,TUNNEL,,,21.226120657152904,0
112,TUNNEL,,,21.670301461313436,0
