step,environment,gps_error,rtk_error,ekf_error
0,URBAN,9.65609642136287,1.8351214949791326,0.5019058292710712
1,URBAN,4.892070146496495,1.502307147528726,0.360516778074749
2,URBAN,3.219075666735021,0.5753440279263212,0.37107447533986043
3,URBAN,7.384574517967679,0.6060275175672972,0.42847001027812487
4,URBAN,0.5642530173335749,1.5522106462558276,0.6242708312327283
5,URBAN,4.764579207754707,0.5181440696291513,0.6132991306323399
6,URBAN,5.164195355917974,0.6079186195098306,0.5338014707178791
7,URBAN,6.56134061225752,1.1865931468770214,0.6493049535544849
8,URBAN,7.9469982260600815,0.5870091798034501,0.5731076957676833
9,URBAN,3.5937241793275967,1.693066920399659,0.7314713078345632
10,URBAN,5.914570125432141,1.3659806001920316,0.9671588614106909
11,URBAN,2.3857258432014943,0.736999874465374,0.4775945861724444
12,URBAN,4.551309047906936,1.1170422160148659,0.6676559238900569
13,URBAN,1.6499474143322008,0.8953858171469685,0.5341964427586495
14,URBAN,4.87223550399117,0.7999805357768871,0.3905568718962174
15,URBAN,7.102683416262807,1.026191255807813,0.34315292609492737
16,URBAN,2.894565353232787,1.8103996855420745,0.5568835602049604
17,URBAN,5.663659172395088,1.239764944536107,0.46302311522704886
18,URBAN,10.934226367774118,1.9259797108122316,0.8620849249605291
19,URBAN,10.776319828209223,1.2339426297256715,0.9508406053208494
20,URBAN,5.114782274782058,1.5102491941445064,0.7424764125837643
21,TUNNEL,,,0.7399071900111862
22,TUNNEL,,,0.7387788410962245
23,TUNNEL,,,0.738833166020519
24,TUNNEL,,,0.7396748425075483
25,TUNNEL,,,0.7414786909953754
26,TUNNEL,,,0.743713476401761
27,TUNNEL,,,0.7461404769017984
28,TUNNEL,,,0.7485338684056613
29,TUNNEL,,,0.7508067482635573
30,TUNNEL,,,0.7524343473019443
31,TUNNEL,,,0.754246218536805
32,TUNNEL,,,0.7551014359214054
33,TUNNEL,,,0.7550831649402259
34,TUNNEL,,,0.7542835838296774
35,TUNNEL,,,0.7532212303599561
36,TUNNEL,,,0.7521047061720352
37,TUNNEL,,,0.7513997088037535
38,TUNNEL,,,0.7510418820734175
39,TUNNEL,,,0.751201494012756
40,TUNNEL,,,0.751580562938462
41,TUNNEL,,,0.7522230074832429
42,TUNNEL,,,0.7527699031526377
43,TUNNEL,,,0.7534600085672558
44,TUNNEL,,,0.7538377309149134
45,TUNNEL,,,0.7539600266114848
46,TUNNEL,,,0.7537430766949743
47,TUNNEL,,,0.7533706313772246
48,TUNNEL,,,0.7528284652221917
49,TUNNEL,,,0.752350431344861
50,TUNNEL,,,0.7518955102953381
51,TUNNEL,,,0.7516444833542566
52,TUNNEL,,,0.7514740726335328
53,TUNNEL,,,0.7515112862678617
54,TUNNEL,,,0.7515656101281388
55,TUNNEL,,,0.7517198630928082
