step,gt_x,gt_y,gt_yaw,pos_error,yaw_error,heading_error_deg,lateral_deviation
0,247.56300354003906,-37.03339767456055,-103.49437713623047,0.03568050443513336,82.03126238955251,-14.887565612792985,1.0399955674383818
1,247.48377990722656,-37.4395751953125,-102.34675598144531,0.08575129006734013,87.69069937520541,-13.739944458007791,0.950919012841041
2,247.41030883789062,-37.84211730957031,-101.32857513427734,0.13698528326077603,123.56142140050927,-12.721763610839808,0.8676882783984183
3,247.34242248535156,-38.240623474121094,-100.53299713134766,0.15973925833295916,140.02496792716983,-11.926185607910165,0.7901352888075053
4,247.27867126464844,-38.63522720336914,-99.82040405273438,0.18509756569337849,174.34403905321335,-11.213592529296873,0.7168106094159157
5,247.22335815429688,-39.02725601196289,-99.04938507080078,0.18399054453965238,-142.05043580953208,-10.442573547363304,0.6519872930239217
6,247.17800903320312,-39.41808319091797,-98.00480651855469,0.16875947394338855,-72.68520134632193,-9.397994995117159,0.597161371853872
7,247.1394500732422,-39.81005859375,-97.03497314453125,0.13058295887839513,-21.46299000671506,-8.428161621093734,0.5490667609483353
8,247.10549926757812,-40.20482635498047,-96.10160827636719,0.12665100547544095,37.10237953444358,-7.494796752929667,0.5055207073310157
9,247.0757598876953,-40.60353469848633,-95.34003448486328,0.10766307140041574,68.7099709356645,-6.733222961425796,0.4660954419796326
10,247.0489044189453,-41.006126403808594,-94.63832092285156,0.11242281738001095,105.85240140762504,-6.031509399414062,0.42946356446555
11,247.02500915527344,-41.41193771362305,-94.0970458984375,0.15398220387220576,120.28600196740157,-5.490234374999976,0.39570116068171046
12,247.00315856933594,-41.81957244873047,-93.5925521850586,0.16735395939902498,146.81114031641718,-4.985740661621103,0.36395343457115814
13,246.98358154296875,-42.22773361206055,-93.22451782226562,0.13512578275167303,155.69658180430267,-4.617706298828117,0.3344495712972275
14,246.96542358398438,-42.63516616821289,-92.86797332763672,0.1538196546865354,179.64580952492878,-4.261161804199242,0.3063955136694858
15,246.94903564453125,-43.041141510009766,-92.62617492675781,0.13390573177103565,-174.5635023554215,-4.019363403320277,0.2801427593203698
16,246.9336395263672,-43.44525909423828,-92.3746337890625,0.09272282807053545,-154.81317421027447,-3.7678222656250107,0.25494301389335305
17,246.922119140625,-43.847591400146484,-92.08969116210938,0.07415266033866089,-142.74992689932444,-3.482879638671851,0.23362026653012435
18,246.91357421875,-44.24851608276367,-91.69058227539062,0.11515417824168142,-114.90569559446313,-3.083770751953144,0.21533469720634457
19,246.9073028564453,-44.64876937866211,-91.37865447998047,0.11847338975854811,-106.39345233218799,-2.7718429565429887,0.1993540078310616
20,246.90228271484375,-45.04901885986328,-91.05352020263672,0.11760331367760438,-84.09836839581182,-2.4467086791992054,0.18459449542933726
21,246.89881896972656,-45.44987869262695,-90.83184051513672,0.1309639237395366,-79.91918565130183,-2.2250289916992236,0.17139166136803397
22,246.89608764648438,-45.851707458496094,-90.594970703125,0.1321234791785852,-60.95835516254848,-1.9881591796874847,0.1588910805839987
23,246.89454650878906,-46.254642486572266,-90.4515609741211,0.10718486695794427,-59.590824594593066,-1.844749450683579,0.14755038141629484
24,246.89341735839844,-46.65854263305664,-90.28194427490234,0.09874457644559873,-42.12827594370709,-1.6751327514648422,0.13659131744316255
25,246.89320373535156,-47.063114166259766,-90.1947021484375,0.12794800266238526,-41.80695251694422,-1.5878906250000036,0.1265480666388612
26,246.8931427001953,-47.46795654296875,-90.07122802734375,0.11142389840914989,-24.952989380224743,-1.4644165039062733,0.11665763685959973
27,246.893798828125,-47.87272262573242,-90.0221176147461,0.0958611369514909,-24.92784246836569,-1.415306091308599,0.10745364958893333
28,246.89453125,-48.27709197998047,-89.92965698242188,0.07019749996539938,-9.184445635433345,-1.3228454589843532,0.09835681325785117
29,246.89581298828125,-48.68092727661133,-89.90618133544922,0.061286710578067415,-11.299068273426014,-1.299369812011722,0.08980931643054646
30,246.89808654785156,-49.08415985107422,-89.7791976928711,0.0848994114014408,5.293746592307172,-1.172386169433577,0.08228459821475553
31,246.9017791748047,-49.48688888549805,-89.68608856201172,0.0462002384190645,4.329977147764737,-1.0792770385742112,0.07617926983766665
32,246.90577697753906,-49.88930892944336,-89.54430389404297,0.00334518380329336,16.72301694111227,-0.9374923706054429,0.07040962832434161
33,246.9105987548828,-50.29163360595703,-89.47472381591797,0.0163994255477736,10.23005150480929,-0.8679122924804715,0.06543385850454797
34,246.91552734375,-50.694061279296875,-89.3629150390625,0.10581173409006332,23.167305663140105,-0.7561035156249859,0.06059546993492404
35,246.92108154296875,-51.09672164916992,-89.3226547241211,0.05297282221695163,13.001345993270427,-0.7158432006836039,0.056352090954533196
36,246.92665100097656,-51.499691009521484,-89.23729705810547,0.027360487754318936,22.01536381854889,-0.6304855346679914,0.052124244497463224
37,246.93275451660156,-51.902957916259766,-89.2196044921875,0.023174734413667825,13.30314824108858,-0.6127929687499811,0.04839997471026436
38,246.93875122070312,-52.30645751953125,-89.1529769897461,0.06032188624554176,21.657020936065514,-0.546165466308581,0.0445995262816723
