step,gt_x,gt_y,gt_yaw,rtk_x,rtk_y,rtk_yaw,cart_x,cart_y,cart_yaw,odo_x,odo_y,odo_yaw,gyro_bias_rate,gyro_bias_offset,rtk_innov_norm,cart_innov_norm,odo_innov_norm,nees_rtk,nees_cart,nees_odo,nis_rtk,nis_cart,nis_odo,lane_width,avg_confidence,lane_confidence,temporal_iou,temporal_dice,speed_kmh,adaptive_threshold,lane_heading,rtk_pxx,rtk_pxy,rtk_pyy
0,53.122718811035156,133.94662475585938,-3.1359994826684088,53.11873253906086,133.9466025880088,-3.1360960228149293,53.14934873558414,133.93863663367264,-3.1360960228149293,53.04921995204569,133.94621365989167,-3.1360960228149293,-1.9308222096655827e-05,-1.9308222096655827e-05,0.053780493834818775,0.0805584642253321,6.850200628960579e-09,0.0004237782207413842,0.008366328229517083,0.08186018970008936,0.005293505932027062,0.016630695736932773,2.3462624328505955e-16,200.0,0.08077290654182434,0.8530789017677307,0.0,0.0,5.2920005321502686,0.3,1.5352038998844295,0.037498051504473474,-7.982336161119305e-07,0.037641587201753236
1,53.122718811035156,133.94662475585938,-3.1359994826684088,53.080371596437075,133.93957554147073,-3.1360972169859975,53.167211526055304,134.02302835525913,-3.1368833677409484,52.951221417188115,133.94567499270417,-3.1360972169859975,-1.9544696341229637e-05,-1.9544696341229637e-05,0.11328824125923947,0.2445377448582257,1.397548743398147e-12,0.19985867516158015,0.08742439410381911,0.40195947727848547,0.14588173091330783,0.15636766942787644,1.4204672655792441e-23,212.0,0.08884529769420624,0.8929460048675537,0.8833548017747245,0.9380652025229881,7.056000995635986,0.3,1.4058710396525063,0.020191606996880634,-4.6938648062981104e-05,0.028726287585420097
2,53.122718811035156,133.94662475585938,-3.1359994826684088,53.02743093712279,133.9547266585111,-3.136034366925152,53.11731488902334,133.9876079377381,-3.135263917674682,52.82872325069227,133.94500180501933,-3.136034366925152,-7.220785416023806e-06,-7.220785416023806e-06,0.1970417628132041,0.10443560411891546,4.838909717364004e-09,1.262091962527737,0.019387376846170205,1.0774090330404849,0.544991912343255,0.028727034314071448,1.7763139206529017e-16,208.0,0.1010083481669426,0.9587140679359436,0.9752755116645199,0.9874830178425867,8.820001029968262,0.3,1.4373266770566904,0.014749199245376415,-8.466837738959547e-05,0.03014091823088773
3,53.122718811035156,133.94662475585938,-3.1359994826684088,52.96901028209886,133.95332484988992,-3.1359779709838973,53.177079360413536,134.0161192082877,-3.1387023506569003,52.68172552821296,133.94418474112436,-3.1359779709838973,3.7303208010607967e-06,3.7303208010607967e-06,0.3056416152101441,0.32614526369229613,4.6753378946107205e-09,3.684612897671819,0.08834431579000446,2.230388373352219,1.442210867597268,0.2798196771719843,1.6681703748154448e-16,208.0,0.10878477990627289,0.965043842792511,0.950184759115945,0.9744561428596965,10.583999347686769,0.3,1.439959362241094,0.012386015958598395,-9.569169256736228e-05,0.02964586344720624
4,53.122718811035156,133.94662475585938,-3.1359994826684088,52.922806036265484,133.97093930470706,-3.135952617265321,53.090619838120865,134.03195527932237,3.1403190611728036,52.57835083908199,133.94360431895618,-3.135952617265321,8.606279765438469e-06,8.606279765438469e-06,0.3720651972683423,0.07500161233098762,6.645142214267707e-10,6.43436763806252,0.09423188000394093,3.4072923646220987,2.1439028686347132,0.014790668574960437,3.3728658557439452e-18,208.0,0.11846515536308289,0.9750051498413086,0.9864393780938436,0.9931734025937561,7.443094825806495,0.3,1.4335290921746702,0.011219411695811091,-0.00010008577408147093,0.02910623831492936
5,53.122718811035156,133.94662475585938,-3.1359994826684088,52.92909971181359,133.95735644549165,-3.136018113973817,53.04882235445978,133.97461918909082,-3.1192807839342906,52.54137882036636,133.94339579321658,-3.136018113973817,-3.87003275831011e-06,-3.87003275831011e-06,0.4104656693005773,0.1570863824245702,1.5860578406190484e-09,5.382806735897844,0.07153253232297822,3.764895619159928,2.586188570934206,0.06435753059678259,1.921690257864314e-17,213.0,0.12902379035949707,0.9844438433647156,0.9486697755560775,0.9736588389229391,2.6620276451175875,0.3,1.3998527919820374,0.010607059505542343,-0.00010314927288604209,0.02894643275442286
6,53.122718811035156,133.94662475585938,-3.1359994826684088,52.96269361281134,133.9437573437075,-3.136036960332326,53.063014999410626,133.85237089314006,-3.056338002393149,52.53574641378056,133.9433643948177,-3.136036960332326,-7.4261986242722315e-06,-7.4261986242722315e-06,0.3264339329926298,0.3539873033962381,2.000577481453547e-11,3.1689742741043236,0.13932993899771703,3.6483059173196253,1.618809961133335,0.32530715476200345,3.0574833393941077e-21,226.0,0.16267064213752747,0.9970472455024719,0.9509135707657355,0.9748392599396405,0.4055395692616349,0.3,1.3997740538746473,0.010275254723276875,-0.0001043510862386704,0.028932811123508803
7,53.122718811035156,133.94662475585938,-3.1359994826684088,52.996583836178786,133.94878802445092,-3.136005742291437,52.96557064655686,133.85735345923385,-3.062523402333209,52.52822646650146,133.94332261586746,-3.136005742291437,-1.5905833070174304e-06,-1.5905833070174304e-06,0.23753758945308,0.171686925203523,7.328795903482899e-11,1.6872103876057205,0.366872410898154,3.426643453375934,0.8682882788105388,0.07735349535916031,4.1031724492261664e-20,243.0,0.15936821699142456,0.9973227977752686,0.9091738529004915,0.9524264660541407,0.5414445519449358,0.3,1.380358796344204,0.010092370939686656,-0.00010493352722690675,0.028935333737166134
8,53.11602020263672,133.94667053222656,-3.136108938589211,53.016976535598026,133.95659360597975,-3.135977459893879,52.9472989353369,133.91258659499334,-3.0954660564917797,52.50255690577905,133.94317920081647,-3.135977459893879,3.6473700058637038e-06,3.6473700058637038e-06,0.18323124942296937,0.1599189885600519,2.0533241773534883e-10,0.9858295641184713,0.33415477913304686,3.2356083435002128,0.5550943613899375,0.06628745126718918,3.220844262925633e-19,227.5,0.16570279002189636,0.9977993369102478,0.6944097729385208,0.8196479789351598,1.8482371891629361,0.3,1.2024141264758597,0.009990625342744891,-0.00010572090138613014,0.028934586118142258
9,53.069984436035156,133.94711303710938,-3.1366868445457583,53.01124534218222,133.95368374712035,-3.136265956435149,52.934861480720436,133.84585093427606,-3.056453499915977,52.44173873380568,133.9428376914286,-3.136265956435149,-4.929308173409969e-05,-4.929308173409969e-05,0.16144824815248465,0.19073037630092804,5.0619915148431005e-08,0.42709169985430817,0.31934361519825294,3.0428320968217273,0.4644262957001317,0.09443335183682094,1.9574803221297145e-14,238.0,0.1675155907869339,0.9980597496032715,0.9482117677220869,0.9734175549414397,4.378977282484242,0.3,1.1478957164799883,0.009933721083067223,-0.00010607712285503967,0.028933588441996005
