step,gt_x,gt_y,gt_yaw,rtk_x,rtk_y,rtk_yaw,cart_x,cart_y,cart_yaw,odo_x,odo_y,odo_yaw,gyro_bias_rate,gyro_bias_offset,rtk_innov_norm,cart_innov_norm,odo_innov_norm,nees_rtk,nees_cart,nees_odo,nis_rtk,nis_cart,nis_odo,lane_width,avg_confidence,lane_confidence,temporal_iou,temporal_dice,speed_kmh,adaptive_threshold,lane_heading,rtk_pxx,rtk_pxy,rtk_pyy
0,53.122718811035156,133.94662475585938,-3.1359994826684088,53.11873253906086,133.9466025880088,-3.1360960228149293,53.14934873558414,133.93863663367264,-3.1360960228149293,53.04921995204569,133.94621365989167,-3.1360960228149293,-1.9308222096655827e-05,-1.9308222096655827e-05,0.053780493834818775,0.0805584642253321,6.850200628960579e-09,0.0004237782207413842,0.008366328229517083,0.08186018970008936,0.005293505932027062,0.016630695736932773,2.3462624328505955e-16,125.0,0.04107488691806793,0.7242547273635864,0.0,0.0,5.2920005321502686,0.3,1.1885817586020992,0.037498051504473474,-7.982336161119305e-07,0.037641587201753236
1,53.122718811035156,133.94662475585938,-3.1359994826684088,53.080371596437075,133.93957554147073,-3.1360972169859975,53.167211526055304,134.02302835525913,-3.1368833677409484,52.951221417188115,133.94567499270417,-3.1360972169859975,-1.9544696341229637e-05,-1.9544696341229637e-05,0.11328824125923947,0.2445377448582257,1.397548743398147e-12,0.19985867516158015,0.08742439410381911,0.40195947727848547,0.14588173091330783,0.15636766942787644,1.4204672655792441e-23,209.0,0.08734918385744095,0.8445280194282532,0.4205704099821747,0.5921148392601702,7.056000995635986,0.3,0.8728515460283,0.020191606996880634,-4.6938648062981104e-05,0.028726287585420097
2,53.122718811035156,133.94662475585938,-3.1359994826684088,53.02743093712279,133.9547266585111,-3.136034366925152,53.11731488902334,133.9876079377381,-3.135263917674682,52.82872325069227,133.94500180501933,-3.136034366925152,-7.220785416023806e-06,-7.220785416023806e-06,0.1970417628132041,0.10443560411891546,4.838909717364004e-09,1.262091962527737,0.019387376846170205,1.0774090330404849,0.544991912343255,0.028727034314071448,1.7763139206529017e-16,209.0,0.11347687989473343,0.9596858620643616,0.9654545454545455,0.9824236817761333,8.820001029968262,0.3,0.8097727044256426,0.014749199245376415,-8.466837738959547e-05,0.03014091823088773
3,53.122718811035156,133.94662475585938,-3.1359994826684088,52.96901028209886,133.95332484988992,-3.1359779709838973,53.177079360413536,134.0161192082877,-3.1387023506569003,52.68172552821296,133.94418474112436,-3.1359779709838973,3.7303208010607967e-06,3.7303208010607967e-06,0.3056416152101441,0.32614526369229613,4.6753378946107205e-09,3.684612897671819,0.08834431579000446,2.230388373352219,1.442210867597268,0.2798196771719843,1.6681703748154448e-16,230.5,0.12041439116001129,0.9763906002044678,0.8462548045373582,0.9167259063674216,10.583999347686769,0.3,1.0828667465662785,0.012386015958598395,-9.569169256736228e-05,0.02964586344720624
4,53.122718811035156,133.94662475585938,-3.1359994826684088,52.922806036265484,133.97093930470706,-3.135952617265321,53.090619838120865,134.03195527932237,3.1403190611728036,52.57835083908199,133.94360431895618,-3.135952617265321,8.606279765438469e-06,8.606279765438469e-06,0.3720651972683423,0.07500161233098762,6.645142214267707e-10,6.43436763806252,0.09423188000394093,3.4072923646220987,2.1439028686347132,0.014790668574960437,3.3728658557439452e-18,237.0,0.11987550556659698,0.9675292372703552,0.9715633886441049,0.9855766182717302,7.443094825806495,0.3,1.2222236106435298,0.011219411695811091,-0.00010008577408147093,0.02910623831492936
5,53.122718811035156,133.94662475585938,-3.1359994826684088,52.92909971181359,133.95735644549165,-3.136018113973817,53.04882235445978,133.97461918909082,-3.1192807839342906,52.54137882036636,133.94339579321658,-3.136018113973817,-3.87003275831011e-06,-3.87003275831011e-06,0.4104656693005773,0.1570863824245702,1.5860578406190484e-09,5.382806735897844,0.07153253232297822,3.764895619159928,2.586188570934206,0.06435753059678259,1.921690257864314e-17,209.0,0.1168193370103836,0.8922728896141052,0.9465285037820552,0.9725298159703025,2.6620276451175875,0.3,1.2158510748823426,0.010607059505542343,-0.00010314927288604209,0.02894643275442286
6,53.122718811035156,133.94662475585938,-3.1359994826684088,52.96269361281134,133.9437573437075,-3.136036960332326,53.063014999410626,133.85237089314006,-3.056338002393149,52.53574641378056,133.9433643948177,-3.136036960332326,-7.4261986242722315e-06,-7.4261986242722315e-06,0.3264339329926298,0.3539873033962381,2.000577481453547e-11,3.1689742741043236,0.13932993899771703,3.6483059173196253,1.618809961133335,0.32530715476200345,3.0574833393941077e-21,220.0,0.14779016375541687,0.9764420986175537,0.9204394543039961,0.9585716979945936,0.4055395692616349,0.3,1.1132927736593603,0.010275254723276875,-0.0001043510862386704,0.028932811123508803
7,53.122718811035156,133.94662475585938,-3.1359994826684088,52.996583836178786,133.94878802445092,-3.136005742291437,52.96557064655686,133.85735345923385,-3.062523402333209,52.52822646650146,133.94332261586746,-3.136005742291437,-1.5905833070174304e-06,-1.5905833070174304e-06,0.23753758945308,0.171686925203523,7.328795903482899e-11,1.6872103876057205,0.366872410898154,3.426643453375934,0.8682882788105388,0.07735349535916031,4.1031724492261664e-20,202.0,0.1411747932434082,0.9643232226371765,0.8880514366578478,0.9407068254770012,0.5414445519449358,0.3,1.0649121403612776,0.010092370939686656,-0.00010493352722690675,0.028935333737166134
8,53.11602020263672,133.94667053222656,-3.136108938589211,53.016976535598026,133.95659360597975,-3.135977459893879,52.9472989353369,133.91258659499334,-3.0954660564917797,52.50255690577905,133.94317920081647,-3.135977459893879,3.6473700058637038e-06,3.6473700058637038e-06,0.18323124942296937,0.1599189885600519,2.0533241773534883e-10,0.9858295641184713,0.33415477913304686,3.2356083435002128,0.5550943613899375,0.06628745126718918,3.220844262925633e-19,215.5,0.14078886806964874,0.9692913889884949,0.828418830753486,0.9061587168319603,1.8482371891629361,0.3,1.052154040522131,0.009990625342744891,-0.00010572090138613014,0.028934586118142258
9,53.069984436035156,133.94711303710938,-3.1366868445457583,53.01124534218222,133.95368374712035,-3.136265956435149,52.934861480720436,133.84585093427606,-3.056453499915977,52.44173873380568,133.9428376914286,-3.136265956435149,-4.929308173409969e-05,-4.929308173409969e-05,0.16144824815248465,0.19073037630092804,5.0619915148431005e-08,0.42709169985430817,0.31934361519825294,3.0428320968217273,0.4644262957001317,0.09443335183682094,1.9574803221297145e-14,230.0,0.14014200866222382,0.9668521881103516,0.9398947111529478,0.9690162107760325,4.378977282484242,0.3,1.1689141643364733,0.009933721083067223,-0.00010607712285503967,0.028933588441996005
10,52.99010467529297,133.9479217529297,-3.137627473042774,52.9722386663178,133.95002993640813,-3.137010833904895,53.03537111654234,133.86915314217663,-3.0684523142334448,52.35092388135281,133.94235394426448,-3.137010833904895,-0.0001847402918458626,-0.0001847402918458626,0.14796778221267276,0.4299539296194324,5.038864119288888e-07,0.2170086648070572,0.09126880532000013,2.86246006177265,0.404176830012634,0.48488703550390494,1.9396290099906193e-12,239.0,0.1299087554216385,0.9501593708992004,0.9240147341656616,0.9605069210307846,6.538761350238917,0.3,1.1973705476327499,0.00990175884700026,-0.00010199010140693063,0.028933329060305445
11,52.88388442993164,133.9490509033203,-3.1387478649133707,52.898741318772096,133.94758986999793,-3.1380965054111467,52.97729526657425,133.81422709254247,-3.031495341747089,52.235742921145295,133.9418262054472,-3.1380965054111467,-0.0003803803396062547,-0.0003803803396062547,0.11617426852518743,0.13344494272452403,1.3576317496877266e-06,0.28425369736859357,0.2947841699245961,2.7033754558090184,0.2516998479402124,0.045742077280903876,1.4080392246831704e-11,237.0,0.13457408547401428,0.9639197587966919,0.9798044764599948,0.989799233318173,8.29311419207312,0.3,1.2038703793023393,0.009883716840995115,-9.040962782744336e-05,0.028933418832379484
12,52.756736755371094,133.950439453125,-3.1400259159204995,52.802063631161644,133.95474988232013,-3.139170867740932,52.860090521568985,133.87230381106073,-3.095982875899879,52.100872825264524,133.9413546826204,-3.139170867740932,-0.0005722558045651307,-0.0005722558045651307,0.11336249606904573,0.19128780158170045,1.5567530349258618e-06,0.5112613740222053,0.18507984189980634,2.565183002008816,0.23775823687624228,0.09307349452011006,1.8513506933489555e-11,236.0,0.1324155032634735,0.9575533866882324,0.9046752936967023,0.9499522534792342,9.710703963420533,0.3,1.2084558757408412,0.009873488499335413,-7.212061225476323e-05,0.0289335790005876
13,52.61079406738281,133.95211791992188,-3.1414086291584686,52.680028757413304,133.9482009943597,-3.1404815786851614,52.68674032826563,133.9712329263465,2.54657372576621,51.94747218774567,133.9409831898229,-3.1404815786851614,-0.0008042726847874948,-0.0008042726847874948,0.0888313738624248,0.7055089197532624,2.635372915449352e-06,0.8017408115479321,6.274650481956763,2.4471074792504894,0.14457641758938214,0.4160421060061941,5.305551116848889e-11,236.0,0.1366557776927948,0.9632844924926758,0.9608309826046074,0.980024276573107,11.04487449840061,0.3,1.1235917598051348,0.009867692736740133,-5.1335004796872334e-05,0.028933711895741794
14,52.44718551635742,133.95407104492188,3.140343098406328,52.53918807975715,133.94750491942924,3.1413286596536913,52.559818207180314,133.98317954496244,2.548763969829542,51.77711027060454,133.94079392224577,3.1413286596536913,-0.0010455492292854808,-0.0010455492292854808,0.08438085766186759,0.14557160028187358,3.221227787619796e-06,1.1718917565442022,2.3576279261737803,2.3434833337225243,0.1321575139708296,0.0557595195760059,7.926598619040976e-11,235.0,0.1268731653690338,0.9522327780723572,0.9774544810694367,0.9885987166094613,12.266060987756486,0.3,1.1121353086591432,0.009864413729105542,-2.73005647054106e-05,0.028933808079213384
15,52.2673225402832,133.956298828125,3.138889012451145,52.38543582249132,133.96155236939563,3.13989763145549,52.43208087944107,134.1474752508651,2.0723708046161295,51.59100209508363,133.94084307818338,3.13989763145549,-0.001294463782827585,-0.001294463782827585,0.10078897025715523,0.6204554415960105,3.811198766801027e-06,1.7171711325653964,23.83440335747542,2.2516644266869994,0.18378720912990007,1.167883911373054,1.1095965320478225e-10,234.0,0.11770319193601608,0.9443673491477966,0.9577699249437809,0.9784295005668596,13.399783657447394,0.3,1.0031130784875453,0.00986258895725219,-1.380548430871877e-06,0.028933845747255806
