zone,iou,mean_conf,depth_std,pixel_count,image_idx,image_name
Near,0.7747594182718086,0.9999780058860779,1.0309418439865112,35907,0,um_000000.png
Mid,0.5261877943752256,0.9999745488166809,3.7714734077453613,20555,0,um_000000.png
Far,0.4105360872115878,0.9999744892120361,6.976974010467529,3538,0,um_000000.png
Near,0.8910861989148279,0.9986790418624878,1.06309175491333,42452,1,um_000001.png
Mid,0.9360598588157444,0.9894496202468872,3.8041763305664062,22233,1,um_000001.png
Far,0.4649292627751408,0.9999710917472839,6.819575786590576,3122,1,um_000001.png
Near,0.8891471440859495,0.9936452507972717,1.0217037200927734,38871,2,um_000002.png
Mid,0.8810832823913222,0.9878407120704651,3.792841672897339,21892,2,um_000002.png
Far,0.42140258431546823,0.9999751448631287,6.74899435043335,3359,2,um_000002.png
Near,0.8930450922394793,0.9999043941497803,1.0510293245315552,40897,3,um_000003.png
Mid,0.822011526275441,0.9981286525726318,3.8569979667663574,22124,3,um_000003.png
Far,0.4028995673561441,0.9999719262123108,6.868579387664795,3446,3,um_000003.png
Near,0.8669538959922861,0.9008316993713379,1.0779119729995728,52245,4,um_000004.png
Mid,0.9466799041947475,0.9804883003234863,3.6798768043518066,33047,4,um_000004.png
Far,0.9868364262005099,0.9951601624488831,6.978698253631592,4588,4,um_000004.png
Near,0.921326468698242,0.9999744296073914,1.0873974561691284,59233,5,um_000005.png
Mid,0.9012032629021552,0.9996398687362671,3.808318614959717,37679,5,um_000005.png
Far,0.7229177097775132,0.9596062302589417,5.652029037475586,4507,5,um_000005.png
Near,0.9495662899699673,0.9917373061180115,1.0773954391479492,48120,6,um_000006.png
Mid,0.8045381758439393,0.9862285256385803,3.541693925857544,23927,6,um_000006.png
Far,0.8982608691746692,0.9951058626174927,6.993259906768799,2070,6,um_000006.png
Near,0.9068360674815623,0.9795831441879272,1.0979623794555664,47283,7,um_000007.png
Mid,0.8182182985280158,0.8585906028747559,3.6979475021362305,28491,7,um_000007.png
Far,0.8230125519568986,0.9476319551467896,6.946540832519531,2079,7,um_000007.png
Near,0.902449639374483,0.9999676942825317,1.0375521183013916,43545,8,um_000008.png
Mid,0.9287389169440632,0.9998865723609924,3.899495840072632,25349,8,um_000008.png
Far,0.845061533340151,0.9474831819534302,6.610493183135986,2812,8,um_000008.png
Near,0.9326153712873012,0.9993250370025635,1.0337488651275635,43146,9,um_000009.png
Mid,0.9321779317954101,0.9925845861434937,3.882889747619629,24367,9,um_000009.png
Far,0.6980083370314941,0.9984243512153625,6.585071086883545,3018,9,um_000009.png
Near,0.8409459412695183,0.999980628490448,1.061474084854126,48753,10,um_000010.png
Mid,0.9286321456071179,0.9983211755752563,3.731743335723877,26253,10,um_000010.png
Far,0.6665386090408996,0.7470604181289673,6.453927516937256,2315,10,um_000010.png
Near,0.9155611370952035,0.9999750852584839,1.00240159034729,40097,11,um_000011.png
Mid,0.8419190582977807,0.8810651898384094,4.309805870056152,28906,11,um_000011.png
Far,0.4925966051837131,0.6409403681755066,5.276905536651611,4255,11,um_000011.png
Near,0.7534211361838505,0.7979087829589844,1.0307152271270752,62474,12,um_000012.png
Mid,0.8072524044447864,0.9765844345092773,3.8378257751464844,25445,12,um_000012.png
Far,0.713911817855061,0.9919381737709045,6.208196640014648,3573,12,um_000012.png
Near,0.8992487370817485,0.9969784617424011,1.0421900749206543,41773,13,um_000013.png
Mid,0.9149523521057725,0.9984652400016785,3.5290374755859375,24212,13,um_000013.png
Far,0.829656583845882,0.9995977878570557,6.368720531463623,3648,13,um_000013.png
Near,0.8952318459996669,0.990455150604248,1.0284571647644043,41318,14,um_000014.png
Mid,0.9598957742925155,0.9923411011695862,3.767622947692871,25596,14,um_000014.png
Far,0.863013698398331,0.9995905160903931,6.881207466125488,3213,14,um_000014.png
Near,0.9307827469160611,0.9973512887954712,1.0443180799484253,44600,15,um_000015.png
Mid,0.9675569638989151,0.9802697896957397,3.831374406814575,26145,15,um_000015.png
Far,0.9190325970244394,0.9969837069511414,6.617725849151611,3502,15,um_000015.png
Near,0.9313177784876477,0.9968529343605042,1.0324653387069702,42633,16,um_000016.png
Mid,0.9666613747830345,0.9931355118751526,3.7477526664733887,24511,16,um_000016.png
Far,0.9160140424207361,0.9910382628440857,7.094022274017334,3413,16,um_000016.png
Near,0.9405021134678173,0.9999130964279175,1.0682820081710815,44055,17,um_000017.png
Mid,0.93333333329623,0.9999275207519531,3.8091342449188232,23478,17,um_000017.png
Far,0.8797768477322798,0.9934531450271606,6.679594039916992,3169,17,um_000017.png
Near,0.8846383741560909,0.9999643564224243,1.014374017715454,35520,18,um_000018.png
Mid,0.9222869954743369,0.9999415278434753,3.8035755157470703,20567,18,um_000018.png
Far,0.6766117967501332,0.9859604835510254,5.735395908355713,1999,18,um_000018.png
Near,0.8115298664972057,0.9477319121360779,1.0750919580459595,28332,19,um_000019.png
Mid,0.9797654940717074,0.9969545602798462,4.030742168426514,14652,19,um_000019.png
Far,0.8401186301320791,0.9944596886634827,6.8538079261779785,3127,19,um_000019.png
