step,environment,gt_x,gt_y,ekf_x,ekf_y,error_m
0,URBAN,250.0,-30.0,59.20551073150619,-7.241160444639292,192.1470840609663
1,URBAN,250.0,-30.0,105.96432964164526,-12.682769984200561,145.0729498941851
2,URBAN,250.0,-30.0,144.59761258951914,-16.62225960067186,106.24795155682254
3,URBAN,250.0,-30.0,171.41251660204387,-19.95197918327828,79.22723817701399
4,URBAN,250.0,-30.0,191.57902788304932,-23.241780246911535,58.81057317626282
5,URBAN,250.0,-30.0,207.14515402115728,-25.280627138884526,43.11392239257019
6,URBAN,250.0,-30.0,218.63291455918642,-26.124965880427347,31.605536516236384
7,URBAN,250.0,-30.0,227.2894012709355,-27.059836700966354,22.90012783496131
8,URBAN,250.0,-30.0,233.7514370699629,-28.143524887062306,16.3542745830053
9,URBAN,250.0,-30.0,238.23359650627214,-29.4828519738632,11.777762659272282
10,URBAN,250.0,-30.0,241.81311277723518,-29.49994247797715,8.202144836785166
11,URBAN,250.0,-30.0,243.32848954227143,-29.072729796116985,6.7356426433259475
12,URBAN,250.0,-30.0,246.1612459062498,-29.01217417446028,3.963815441451219
13,URBAN,250.0,-30.0,247.03978260798857,-29.49912202633694,3.002293415452221
14,URBAN,250.0,-30.0,248.24985962481082,-29.967600125503225,1.7504402545459001
15,URBAN,249.9866485595703,-30.01572608947754,249.6753715989147,-29.591635179210275,0.5260669600025418
16,URBAN,249.94973754882812,-30.08627700805664,249.73710725567454,-29.169373710048156,0.9412349863160709
17,URBAN,249.91436767578125,-30.1940975189209,250.05089501487288,-28.979259124567477,1.2224860075741724
18,URBAN,249.87014770507812,-30.337570190429688,250.38413192869808,-29.178178286317447,1.2682150328123447
19,URBAN,249.81396484375,-30.509878158569336,250.75318808191142,-30.10271006396221,1.0236826404547539
20,URBAN,249.7481231689453,-30.70463752746582,250.65858994539772,-30.19624078437825,1.042792884232382
21,URBAN,249.67417907714844,-30.9178466796875,250.3090683332626,-30.442819699286385,0.7929281175732006
22,URBAN,249.59298706054688,-31.146991729736328,250.30054659274094,-30.42001804555245,1.0144610535129333
23,URBAN,249.5049285888672,-31.39056396484375,250.59083131365105,-30.81548633316697,1.228779479869352
24,URBAN,249.4110565185547,-31.645530700683594,249.95935711151537,-31.598155578792383,0.5503434767626915
25,URBAN,249.314453125,-31.903812408447266,249.77378069294,-31.269609224322668,0.7830680005104588
26,URBAN,249.21311950683594,-32.17005920410156,250.10422852108604,-31.758698031328834,0.9814750581358394
27,URBAN,249.107421875,-32.44357681274414,251.16760055759656,-31.840147625153797,2.1467330967451983
28,URBAN,248.9947052001953,-32.730857849121094,250.51980000647615,-31.84249110433699,1.7649673202025806
29,URBAN,248.8740692138672,-33.03336715698242,250.5046118691319,-32.74137524579195,1.656480795795226
30,URBAN,248.74945068359375,-33.34285354614258,250.28727229692154,-32.47917420474878,1.763756592948279
31,URBAN,248.6195526123047,-33.660728454589844,249.8200961964419,-33.828319454660715,1.2121846561963245
32,URBAN,248.48451232910156,-33.98846435546875,249.67952487825977,-34.15597349866425,1.2066956143533827
33,URBAN,248.34335327148438,-34.326786041259766,248.63237911781619,-34.19273221719934,0.31860063966201047
34,URBAN,248.20181274414062,-34.67839813232422,245.41408539239197,-33.786223402131256,2.927012049323075
35,TUNNEL,248.06838989257812,-35.04551315307617,245.1732063043129,-34.09947197738454,3.0458302506647077
36,TUNNEL,247.948486328125,-35.428279876708984,244.93416021755334,-34.427770077522375,3.176032392646916
37,TUNNEL,247.83876037597656,-35.826171875,244.69893801571678,-34.77384910742328,3.311475148804178
38,TUNNEL,247.73655700683594,-36.23939514160156,244.4663300576719,-35.13752947754274,3.450868331401597
39,TUNNEL,247.6398162841797,-36.66777420043945,244.23728111974725,-35.51919181015866,3.5911679231779745
40,TUNNEL,247.54794311523438,-37.11130142211914,244.00995627018727,-35.91776320621716,3.733883285340454
41,TUNNEL,247.4600372314453,-37.5692138671875,243.7855189267066,-36.33219233126746,3.877151925342859
42,TUNNEL,247.37632751464844,-38.038185119628906,243.56385221036393,-36.75728854382214,4.021898057347142
43,TUNNEL,247.2965545654297,-38.51264953613281,243.34823110090224,-37.1882615771751,4.164524180067899
44,TUNNEL,247.22142028808594,-38.98784637451172,243.13774867484062,-37.62006890214258,4.306644756506637
45,TUNNEL,247.1553497314453,-39.46028137207031,242.9385213722885,-38.0509602960455,4.446102484864335
46,TUNNEL,247.10218811035156,-39.928184509277344,242.74956813043798,-38.48014157093296,4.58717004708044
47,TUNNEL,247.05776977539062,-40.39106369018555,242.57203419153572,-38.907722165110144,4.724629700651165
48,TUNNEL,247.0207977294922,-40.849571228027344,242.40238352008308,-39.333753129257104,4.860807990265754
49,TUNNEL,246.9893341064453,-41.30479049682617,242.2408198117877,-39.759441359898254,4.993645157755156
50,TUNNEL,246.96286010742188,-41.75851821899414,242.0835899687775,-40.18571645703384,5.1264980706416186
51,TUNNEL,246.93994140625,-42.212425231933594,241.93109742247626,-40.61428090416556,5.257621453296497
52,TUNNEL,246.9203643798828,-42.668113708496094,241.78022284694933,-41.04573784273753,5.390098183556923
53,TUNNEL,246.90301513671875,-43.12650680541992,241.63198337809882,-41.48104989381899,5.521893176105017
54,TUNNEL,246.88796997070312,-43.587947845458984,241.48404641612854,-41.91960126061598,5.655596353245465
55,TUNNEL,246.8767852783203,-44.05195236206055,241.3396126170389,-42.36153732009145,5.789454559365463
56,TUNNEL,246.86952209472656,-44.51777648925781,241.19689201248508,-42.80559167040368,5.925395252965457
57,TUNNEL,246.86436462402344,-44.98445129394531,241.05768403804356,-43.25115494058116,6.0598560771837695
58,TUNNEL,246.8614044189453,-45.451087951660156,240.919887161965,-43.69681169456335,6.19508777187285
59,TUNNEL,246.85975646972656,-45.91693115234375,240.7851769993782,-44.14229481260554,6.328495072281979
60,TUNNEL,246.85968017578125,-46.38157653808594,240.65134190897095,-44.58673593621304,6.462578186859529
61,TUNNEL,246.8604278564453,-46.84489822387695,240.51999360370647,-45.03052512644242,6.594926553798622
62,TUNNEL,246.86231994628906,-47.307064056396484,240.38889365272857,-45.473324991528244,6.7281384450815365
63,TUNNEL,246.8646240234375,-47.76840591430664,240.25964862388997,-45.91595920202048,6.8598293601581535
64,TUNNEL,246.8677520751953,-48.22935485839844,240.13007423788585,-46.3582946163445,6.992651075862862
65,TUNNEL,246.87110900878906,-48.690345764160156,240.00184093145978,-46.801202933322216,7.1243037943030965
66,TUNNEL,246.87594604492188,-49.15169143676758,239.87339752613212,-47.24455220050184,7.257607444916596
67,TUNNEL,246.88156127929688,-49.61360168457031,239.74655883691457,-47.68899771073942,7.39001761221765
68,TUNNEL,246.8880615234375,-50.07615661621094,239.6193331609502,-48.134008874175336,7.5237191507605745
69,TUNNEL,246.8948211669922,-50.53925704956055,239.49353138645398,-48.57993160238919,7.656242330506039
70,TUNNEL,246.90231323242188,-51.002742767333984,239.36719872402546,-49.02604245694934,7.790076685869077
71,TUNNEL,246.90988159179688,-51.46639633178711,239.2421928868752,-49.47260785509232,7.922666379785567
72,TUNNEL,246.91799926757812,-51.93001937866211,239.11658322245844,-49.918908750222506,8.056466860161068
73,TUNNEL,246.9261016845703,-52.39344024658203,238.99224414449802,-50.36530958005924,8.188980978525484
74,TUNNEL,246.93467712402344,-52.85658264160156,238.8672331219957,-50.811215608974635,8.322690612056324
