step,environment,gt_x,gt_y,ekf_x,ekf_y,error_m
0,URBAN,250.0,-30.0,0.02449999898672104,0.0,251.7692407756686
1,URBAN,250.0,-30.0,0.0735000029206276,0.0,251.72058994208263
2,URBAN,250.0,-30.0,0.14700001031160354,0.0,251.6476139442757
3,URBAN,250.0,-30.0,0.24500002413988115,0.0,251.55031308456344
4,URBAN,250.0,-30.0,0.3675000384449959,0.0,251.42868777658558
5,URBAN,250.0,-30.0,0.5145000293850899,0.0,251.28273855477556
6,URBAN,250.0,-30.0,0.6859999969601631,0.0,251.1124660336793
7,URBAN,250.0,-30.0,0.8819999292492866,0.0,250.91787094436012
8,URBAN,250.0,-30.0,1.1024998262524606,0.0,250.69895411178055
9,URBAN,250.0,-30.0,1.3474996879696848,0.0,250.45571646785035
10,URBAN,250.0,-30.0,1.616999538242817,0.0,250.18815902913005
11,URBAN,250.0,-30.0,1.9109993532299998,0.0,249.8962829693812
12,URBAN,250.0,-30.0,2.229499132931233,0.0,249.58008955026463
13,URBAN,250.0,-30.0,2.572498877346516,0.0,249.2395801468954
14,URBAN,250.0,-30.0,2.9399985864758493,0.0,248.87475624990688
15,URBAN,249.9866485595703,-30.01572608947754,3.0632759947173405,-0.000253870184415502,248.74099077423554
16,URBAN,249.94973754882812,-30.08627700805664,3.1539468242254887,-0.0009491219600137248,248.6227851050579
17,URBAN,249.91436767578125,-30.1940975189209,3.2791469390376804,-0.0036177144059572923,248.4761501204674
18,URBAN,249.87014770507812,-30.337570190429688,3.441688575122856,-0.009496873720939773,248.28769099628698
19,URBAN,249.81396484375,-30.50987434387207,3.6327120627964105,-0.019457781439632844,248.06223961528372
20,URBAN,249.7481231689453,-30.704635620117188,3.8461656734168628,-0.03408062894959279,247.80729538009754
21,URBAN,249.67417907714844,-30.917842864990234,4.0782879753015,-0.053749468627317304,247.527642875073
22,URBAN,249.59298706054688,-31.146989822387695,4.326758609934921,-0.07872114603007688,247.22613158186599
23,URBAN,249.5049285888672,-31.390560150146484,4.590067820838532,-0.10912447896993087,246.9044698717964
24,URBAN,249.41102600097656,-31.645530700683594,4.862257128619152,-0.14454792076327652,246.56928493445108
25,URBAN,249.31442260742188,-31.90382957458496,5.136884688410017,-0.1838604495132029,246.2292152964103
26,URBAN,249.21304321289062,-32.17017364501953,5.422871266375262,-0.22840127812329364,245.87379844068408
27,URBAN,249.10731506347656,-32.443687438964844,5.716270213336994,-0.27686590194760263,245.50744412550299
28,URBAN,248.99575805664062,-32.72770309448242,6.022734139001204,-0.32997415857559254,245.12344480258568
29,URBAN,248.877197265625,-33.024818420410156,6.3428577664782395,-0.3889871849530291,244.72025522362594
30,URBAN,248.7530059814453,-33.3318977355957,6.672387182517398,-0.45162803214678654,244.30337315281463
31,URBAN,248.62367248535156,-33.649112701416016,7.013170013998468,-0.5196784883619037,243.87126586733584
32,URBAN,248.48829650878906,-33.97724914550781,7.366146244963258,-0.591908054831946,243.42241545837916
33,URBAN,248.34735107421875,-34.31642150878906,7.7302506089229155,-0.6695748411121842,242.95822547714747
34,URBAN,248.2053680419922,-34.6685676574707,8.10676434997494,-0.747606477973257,242.48292950679502
