Metric,Day Mean,Night Mean,Day Std,Night Std,Day Min,Night Min,Day Max,Night Max,% Change,t statistic,p value,Significant
avg_confidence,0.0893278093449771,0.14616090041895702,0.034115992878043414,0.012914780311962911,0.0189430583268404,0.0807729065418243,0.1496771872043609,0.1716324388980865,63.62306597545106,-26.98503879768622,1.3113844031162461e-90,True
lane_heading,1.170247041187555,1.6652026573567336,0.2978624047251994,0.3412918308826923,0.576070124571048,0.9303580374989132,2.236281881832555,2.340052251913573,42.29496839119564,-18.92500295008036,1.015280457451276e-62,True
lane_width,175.93166666666667,236.165,53.067299644200034,9.845645269317332,54.0,200.0,288.0,254.0,34.236777536733,-19.329547636330823,1.1175068985058473e-55,True
lane_confidence,0.9090290394425392,0.9951968747377395,0.10356425744318104,0.011292383195076895,0.4220914840698242,0.8530789017677307,0.9983111023902892,0.9995672702789308,9.479106998390572,-14.32614825819845,5.5992711686228675e-36,True
temporal_iou,0.9263834729451094,0.9725906308449934,0.09382103326552756,0.06279778777672362,0.0,0.0,0.9972686076106524,0.9988243111997136,4.987908274419524,-7.088980890847456,4.407113096425939e-12,True
temporal_dice,0.9583782510090371,0.9842682396937916,0.07279776223734362,0.05902663530610179,0.0,0.0,0.998632436128551,0.9994118098355624,2.7014374186284025,-4.784700768329275,2.18086579802033e-06,True
cart_yaw,-0.42897423402002666,-0.1776966146989306,2.914448774794964,2.9530904539762206,-3.1400117262351848,-3.1414049048677803,3.140319061172804,3.140319061172804,58.57638976735492,-1.048972286456874,0.2946146970342255,False
cart_y,133.80752618396923,133.7907890740039,0.24227245282341242,0.21658208549114885,133.36925749592976,133.3022575234637,134.35757328174626,134.25073942712254,-0.012508347207856022,0.892075156689558,0.3727159298695377,False
nis_odo,1.3364611147878025e-08,1.5645737081603818e-08,7.11797496142134e-08,8.057892697646231e-08,0.0,0.0,6.010107431954402e-07,6.439217856546535e-07,17.06840482289662,-0.3674853113260152,0.7133890444918431,False
odo_innov_norm,9.512930280574863e-06,1.0532910019408167e-05,4.107995091433641e-05,4.4392282174256994e-05,0.0,0.0,0.0002822540615872,0.000292156559702,10.722035258852616,-0.2920897038027194,0.7703199497475793,False
cart_innov_norm,0.27225276840589197,0.27571717510239274,0.1720166317988843,0.1689251097692953,0.0233960732346215,0.0145789882734582,0.9612339686854406,0.9145173269507544,1.2724964072122182,-0.2488894373635136,0.8035317898314179,False
odo_y,133.60955810319211,133.6049147035299,0.34224461538245743,0.3560922927997533,131.94392058685577,131.79818272919843,134.01792682982736,134.01792682982736,-0.003475349913695612,0.16284008759027377,0.8706994423726615,False
nees_cart,1.5495397314035233,1.5260490718971418,1.997631769087011,1.8818222407882588,0.008366328229517,0.0004128434548228,23.83440335747542,23.83440335747542,-1.5159765851956848,0.14825413124743572,0.8821923671327713,False
rtk_innov_norm,0.0370135912856479,0.0375341762655075,0.05342682731099475,0.054216340317953776,0.0014997988017364,0.0014997988017364,0.4104656693005773,0.4104656693005773,1.4064697906292025,-0.11845928531927097,0.9057435417061254,False
nis_rtk,0.06743516166878104,0.0697215887812979,0.2548861787416454,0.25793726683784335,1.590039812163173e-05,1.590039812163173e-05,2.586188570934206,2.586188570934206,3.3905562853797693,-0.10920874790559922,0.9130735628113059,False
nis_cart,0.2331474599802542,0.23139644187839745,0.30092587073302707,0.26810565879310116,0.0010260187177927,0.0005181783912414,2.035752197199276,1.84497801953534,-0.7510346035959662,0.07525038931253285,0.9400409919672925,False
speed_kmh,18.261182080639802,18.323380168299792,10.438538729813779,10.38481838278328,0.0,0.0,27.45156185744412,27.45156185744412,0.34060274622600295,-0.07316450941762301,0.9416996736459604,False
